Word,Type,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Meaning 6,Meaning 7,Meaning 8,Meaning 9,Meaning 10
callow,Adjective,young and inexperienced,,,,,,,,,
solemn,Adjective,dignified and somber in manner or character and committed to keeping promises,characterized by a firm and humorless belief in the validity of your opinions,,,,,,,,
tepid,Adjective,moderately warm,feeling or showing little interest or enthusiasm,,,,,,,,
sedulous,Adjective,marked by care and persistent effort,,,,,,,,,
solicitous,Adjective,full of anxiety and concern,showing hovering attentiveness,,,,,,,,
alacrity,Noun,liveliness and eagerness,,,,,,,,,
gloomy,Adjective,depressingly dark,filled with melancholy and despondency,causing dejection,,,,,,,
melancholy,Noun,a feeling of thoughtful sadness,a constitutional tendency to be gloomy and depressed,a humor that was once believed to be secreted by the kidneys or spleen and to cause sadness and melancholy,,,,,,,
melancholy,Adjective,characterized by or causing or expressing sadness,grave or even gloomy in character,,,,,,,,
despondent,Adjective,without or almost without hope,,,,,,,,,
contrite,Adjective,feeling or expressing pain or sorrow for sins or offenses,,,,,,,,,
scintillating,Verb,give off,reflect brightly,emit or reflect light in a flickering manner,physics: fluoresce momentarily when struck by a charged particle or high-energy photon,be lively or brilliant or exhibit virtuosity,,,,,
scintillating,Adjective,brilliantly clever,marked by high spirits or excitement,having brief brilliant points or flashes of light,,,,,,,
quack,Noun,an untrained person who pretends to be a physician and who dispenses medical advice,the harsh sound of a duck,,,,,,,,
fervid,Adjective,characterized by intense emotion,(archaic,,,,,,,,
adulterate,Verb,"corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones",,,,,,,,,
adulterate,Adjective,mixed with impurities,,,,,,,,,
capricious,Adjective,changeable,determined by chance or impulse or whim rather than by necessity or reason,,,,,,,,
loquacious,Adjective,full of trivial conversation,,,,,,,,,
propriety,Noun,correct or appropriate behavior,,,,,,,,,
cacophony,Noun,a loud harsh or strident noise,loud confusing disagreeable sounds,,,,,,,,
obdurate,Adjective,stubbornly persistent in wrongdoing,showing unfeeling resistance to tender feelings,,,,,,,,
desiccate,Verb,preserve by removing all water and liquids from,remove water from,lose water or moisture,,,,,,,
desiccate,Adjective,lacking vitality or spirit; lifeless,,,,,,,,,
garrulous,Adjective,full of trivial conversation,,,,,,,,,
ostentation,Noun,a gaudy outward display,lack of elegance as a consequence of being pompous and puffed up with vanity,pretentious or showy or vulgar display,,,,,,,
prevaricate,Verb,be deliberately ambiguous or unclear in order to mislead or withhold information,,,,,,,,,
divulge,Verb,make known to the public information that was previously known only to a few people or that was meant to be kept a secret,,,,,,,,,
deposition,Noun,the natural process of laying down a deposit of something,the act of putting something somewhere,the act of deposing someone; removing a powerful person from a position or office,,,,,,,
recuperate,Verb,regain or make up for,regain a former condition after a financial loss,restore to good health or strength,get over an illness or shock,,,,,,
repine,Verb,express discontent,,,,,,,,,
veneration,Noun,a feeling of profound respect for someone or something,religious zeal; the willingness to serve God,,,,,,,,
inveterate,Adjective,habitual,,,,,,,,,
inveterate,Adverb,in a habitual and longstanding manner,,,,,,,,,
undergird,Verb,lend moral support to,make secure underneath,,,,,,,,
intersperse,Verb,place at intervals in or among,introduce one's writing or speech with certain expressions,,,,,,,,
insular,Adjective,relating to or characteristic of or situated on an island,suggestive of the isolated life of an island,narrowly restricted in outlook or scope,,,,,,,
patent,Noun,a document granting an inventor sole rights to an invention,an official document granting a right or privilege,,,,,,,,
patent,Verb,obtain a patent for,grant rights to; grant a patent for,make open to sight or notice,,,,,,,
patent,Adjective,(of a bodily tube or passageway,clearly revealed to the mind or the senses or judgment,,,,,,,,
inalienable,Adjective,incapable of being repudiated or transferred to another,not subject to forfeiture,,,,,,,,
exigent,Adjective,demanding attention,requiring precise accuracy,,,,,,,,
extraneous,Adjective,not pertinent to the matter under consideration,not essential,not belonging to that in which it is contained; introduced from an outside source,coming from the outside,,,,,,
repudiate,Verb,cast off,"refuse to acknowledge, ratify, or recognize as valid",refuse to recognize or pay,"reject as untrue, unfounded, or unjust",,,,,,
debased,Verb,corrupt morally or by intemperance or sensuality,lower in value by increasing the base-metal content,"corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones",,,,,,,
debased,Adjective,mixed with impurities,lowered in value,ruined in character or quality,,,,,,,
normative,Adjective,relating to or dealing with norms,pertaining to giving directives or rules,,,,,,,,
propitious,Adjective,presenting favorable circumstances; likely to result in or show signs of success,,,,,,,,,
fitfully,Adverb,in a fitful manner,,,,,,,,,
irascible,Adjective,quickly aroused to anger,characterized by anger,,,,,,,,
evanescent,Adjective,tending to vanish like vapor,,,,,,,,,
recrudescent,Adjective,the revival of an unfortunate situation after a period of abatement,,,,,,,,,
arcane,Adjective,requiring secret or mysterious knowledge,,,,,,,,,
discomfiting,Verb,cause to lose one's composure,,,,,,,,,
expedient,Noun,a means to an end; not necessarily a principled or ethical one,,,,,,,,,
